CustomerID,Age,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Paperless_Billing,Payment_Method,Customer_Service_Calls,Churn
CUST00068,75,66,102.68388837118775,6280.86780273469,Two year,Fiber optic,Yes,Yes,Yes,No,No,Yes,No,Mailed check,4,0
CUST00069,26,43,86.69715169909072,5903.165592659165,Two year,No,No,Yes,Yes,No,No,Yes,No,Bank transfer,2,1
CUST00070,43,23,77.71852367117481,2473.8661462434156,Two year,DSL,No,Yes,No,No,No,Yes,No,Credit card,9,1
CUST00071,70,55,54.85736672419705,2674.0026287591536,One year,DSL,Yes,No,No,Yes,No,No,Yes,Credit card,4,1
CUST00072,19,16,35.92874452428052,6360.918996507061,One year,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Electronic check,0,1
CUST00073,37,8,80.49539226905408,3745.41954390977,Two year,DSL,Yes,Yes,Yes,No,Yes,No,Yes,Credit card,5,0
CUST00074,45,4,51.81115536181195,5873.462426823289,Month-to-month,Fiber optic,No,Yes,No,No,No,No,Yes,Electronic check,9,1
CUST00075,64,4,106.64386675276454,1269.0747641900946,Two year,Fiber optic,No,No,Yes,Yes,No,Yes,Yes,Bank transfer,3,1
CUST00076,77,56,119.33369373586285,6835.206477022272,Two year,No,Yes,Yes,Yes,Yes,No,No,Yes,Credit card,3,0
CUST00077,24,25,95.24277626155725,5715.989261790321,Month-to-month,No,Yes,No,Yes,No,No,Yes,No,Mailed check,7,1
CUST00078,61,67,29.048169528705074,7264.848189795188,Two year,DSL,Yes,No,No,No,Yes,No,No,Mailed check,1,1
CUST00079,78,67,48.86855955306381,1145.7417943762823,Month-to-month,No,No,No,No,Yes,No,No,Yes,Mailed check,3,1
CUST00080,25,27,30.910963176574974,4784.814552848721,One year,No,No,No,Yes,Yes,No,No,No,Bank transfer,1,1
CUST00081,64,32,85.05116477917157,4833.052621818569,One year,DSL,Yes,No,Yes,No,No,No,Yes,Bank transfer,0,1
CUST00082,52,50,96.51908645557846,2892.3398503195813,Month-to-month,DSL,No,No,No,Yes,No,No,Yes,Electronic check,9,0
CUST00083,31,61,112.56748308807119,3721.8847540971365,One year,No,Yes,No,No,Yes,No,Yes,No,Mailed check,2,0
CUST00084,34,51,63.817234641198766,400.0543499898424,One year,Fiber optic,No,Yes,No,No,No,No,Yes,Electronic check,7,0
CUST00085,53,19,110.13756495884444,5992.294305153395,Month-to-month,No,No,Yes,Yes,No,No,No,No,Electronic check,5,1
CUST00086,67,21,107.78911590413276,4439.647587285075,One year,No,No,No,Yes,No,Yes,No,Yes,Credit card,6,1
CUST00087,57,5,51.71957167653986,556.1543097664728,Two year,Fiber optic,No,Yes,Yes,Yes,No,No,Yes,Credit card,1,0
CUST00088,21,42,106.8900625540571,5477.971554387836,Two year,Fiber optic,Yes,Yes,No,No,No,Yes,No,Mailed check,5,1
CUST00089,19,61,57.56722518817265,3787.5784101263844,Month-to-month,DSL,No,No,No,Yes,No,No,Yes,Bank transfer,7,1
CUST00090,79,22,49.68692745602808,372.24394945750004,One year,DSL,No,Yes,No,No,Yes,Yes,Yes,Credit card,7,0
CUST00091,23,21,84.90746587943931,7759.901042099954,Two year,No,Yes,No,Yes,No,Yes,No,Yes,Bank transfer,3,1
CUST00092,71,70,52.83812278850811,7597.985930406579,Two year,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,Electronic check,5,0
CUST00093,59,1,83.02087483291442,4151.929087562861,One year,DSL,Yes,No,No,Yes,No,Yes,Yes,Electronic check,4,1
CUST00094,21,5,80.98318054986945,840.0121235766906,One year,No,Yes,No,Yes,No,No,Yes,Yes,Electronic check,8,0
CUST00095,71,12,76.34389273484588,6061.507650628875,Two year,Fiber optic,No,Yes,No,No,No,Yes,Yes,Electronic check,7,0
CUST00096,46,46,58.04197042327977,3986.2556908352594,Two year,No,No,Yes,Yes,Yes,Yes,Yes,No,Mailed check,1,1
CUST00097,35,34,74.84997216514768,2489.3350784861013,Month-to-month,DSL,Yes,No,No,No,No,No,No,Electronic check,6,1
CUST00098,43,49,79.64854749854216,3982.2036024755985,Month-to-month,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Credit card,6,1
CUST00099,61,45,74.56868884954734,4227.308748703169,Two year,Fiber optic,Yes,No,Yes,Yes,Yes,No,No,Electronic check,0,1
CUST00100,51,27,64.44194527512016,4545.42242227648,Month-to-month,No,No,Yes,No,No,Yes,Yes,No,Bank transfer,0,1
CUST00101,27,26,21.46670570462638,3585.6673378770797,Two year,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Credit card,3,0
CUST00102,79,47,78.7061707701151,4885.466894798547,Two year,DSL,Yes,Yes,No,Yes,Yes,No,No,Bank transfer,4,0
CUST00103,53,56,36.844438514271964,7358.004213790381,Month-to-month,DSL,Yes,Yes,No,Yes,No,Yes,No,Bank transfer,3,1
CUST00104,31,63,84.25759689471896,2961.91788807887,Month-to-month,No,No,No,No,No,No,Yes,Yes,Mailed check,6,1
CUST00105,48,48,95.9344327922866,5833.160059437598,One year,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed check,2,1
CUST00106,65,61,70.04453091307414,7166.175198911435,One year,No,No,No,No,No,No,Yes,Yes,Bank transfer,6,0
CUST00107,32,26,74.23636649797383,3702.2362785035016,One year,Fiber optic,No,No,No,No,No,No,No,Bank transfer,7,0
CUST00108,25,36,115.14785596659911,3603.3011074170427,Two year,No,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,5,0
CUST00109,31,1,104.71673613725741,4856.724184302759,Month-to-month,No,No,No,Yes,Yes,Yes,Yes,Yes,Credit card,5,0
CUST00110,40,8,111.42365159514699,4772.113399437656,Two year,DSL,Yes,No,No,Yes,No,No,No,Electronic check,7,1
CUST00111,77,52,101.37662883195864,6472.055804377588,Month-to-month,DSL,No,Yes,No,No,No,No,No,Mailed check,7,1
CUST00112,74,47,30.891834184673144,3864.218731848512,Two year,No,No,Yes,No,No,No,Yes,Yes,Mailed check,6,0
CUST00113,79,56,34.89918559701947,7969.371302151585,One year,No,Yes,No,Yes,Yes,No,Yes,Yes,Electronic check,5,0
CUST00114,57,14,72.66237972689595,569.8253940515181,One year,DSL,Yes,Yes,Yes,No,Yes,No,Yes,Credit card,5,0
CUST00115,38,28,44.60696587979982,125.02600378754373,One year,No,Yes,No,No,No,No,Yes,Yes,Bank transfer,9,0
CUST00116,33,2,67.66954750411591,5157.566661321028,Two year,Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,Electronic check,5,0
CUST00117,62,26,59.43653238183502,2457.635807658826,Month-to-month,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Mailed check,7,0
CUST00118,35,14,74.94142384304533,1999.0208707259221,Month-to-month,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Credit card,0,0
CUST00119,64,59,94.68757161358226,2564.002732033816,One year,No,Yes,Yes,No,Yes,No,No,No,Mailed check,4,0
CUST00120,70,56,91.54909070992744,2122.775764329139,One year,DSL,No,No,Yes,No,No,No,Yes,Credit card,2,0
CUST00121,41,7,72.12341324853344,343.24139231753804,One year,No,No,Yes,No,Yes,Yes,Yes,No,Credit card,7,0
CUST00122,43,3,102.23934188170581,7775.111034885651,One year,No,No,Yes,No,Yes,Yes,Yes,No,Credit card,5,1
CUST00123,42,23,63.08620915380333,1843.8893587769758,Month-to-month,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,1,1
CUST00124,77,18,109.67142898401224,5898.83512445552,Two year,DSL,No,Yes,No,No,Yes,Yes,Yes,Electronic check,6,1
CUST00125,77,38,27.12802700551639,6124.511518083985,Two year,DSL,Yes,Yes,No,No,No,No,No,Electronic check,6,0
CUST00126,77,15,115.46600300333074,7441.1334442571115,Two year,Fiber optic,No,No,No,No,Yes,No,Yes,Credit card,4,1
CUST00127,62,64,85.46930814313482,341.3407110377018,Two year,No,No,Yes,No,Yes,Yes,No,Yes,Credit card,7,0
CUST00128,58,28,58.00745089372053,6989.181873731361,One year,DSL,Yes,No,Yes,Yes,No,Yes,No,Mailed check,4,0
CUST00129,46,39,39.715412657287736,4265.086828634422,One year,No,Yes,Yes,No,No,Yes,Yes,No,Bank transfer,0,0
CUST00130,32,57,67.91832294436,5097.098468730041,One year,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,Electronic check,8,0
CUST00131,62,17,39.4558323185301,5191.315189256166,Two year,Fiber optic,No,Yes,Yes,Yes,No,No,Yes,Credit card,3,0
CUST00132,18,44,36.63316077431422,6576.402659379348,One year,DSL,No,No,Yes,No,Yes,Yes,Yes,Mailed check,1,0
CUST00133,42,25,81.73517574129741,2733.917845056973,One year,DSL,No,No,Yes,No,Yes,Yes,No,Mailed check,3,1
CUST00134,24,17,72.30847245817847,5891.104399893948,Month-to-month,No,Yes,Yes,No,No,Yes,No,Yes,Mailed check,8,0
CUST00135,26,13,87.00960346109417,4275.767066805357,Month-to-month,DSL,No,Yes,No,No,Yes,No,No,Electronic check,1,1
CUST00136,41,25,112.96058774219892,6367.812713012247,One year,No,Yes,Yes,Yes,No,No,Yes,Yes,Electronic check,3,1
CUST00137,18,68,73.22602133390401,7925.313658884054,Month-to-month,DSL,Yes,No,No,Yes,Yes,No,No,Bank transfer,1,1
CUST00138,61,10,78.09320532627977,1685.1430374897138,Month-to-month,No,Yes,No,Yes,No,No,Yes,Yes,Mailed check,4,1
CUST00139,25,67,28.962633915494212,7957.724268323983,One year,No,No,Yes,No,No,Yes,No,No,Electronic check,2,0
CUST00140,41,18,91.76357859086295,809.5160188339146,One year,No,No,Yes,No,Yes,No,No,Yes,Mailed check,9,1
CUST00141,28,34,59.99052068041562,118.30862844802954,One year,No,Yes,No,No,Yes,No,No,Yes,Credit card,1,0
CUST00142,68,8,117.67252386625789,448.87929580486696,One year,Fiber optic,No,No,Yes,Yes,No,Yes,No,Mailed check,8,1
CUST00143,34,40,102.31740155956602,2800.0809974204176,Two year,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer,4,0
CUST00144,25,42,72.24810405161183,5099.96001235963,Two year,DSL,Yes,No,No,No,Yes,Yes,Yes,Electronic check,9,0
CUST00145,52,41,32.322265417216606,645.3333730140121,One year,Fiber optic,No,Yes,Yes,No,Yes,No,No,Credit card,4,1
CUST00146,52,6,105.94157932805892,144.75993478358143,Month-to-month,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Electronic check,0,1
CUST00147,50,52,99.97810954240217,7503.019124824479,One year,No,Yes,Yes,No,No,Yes,No,Yes,Credit card,5,1
CUST00148,76,26,38.4585129537033,6593.220423925444,One year,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,Mailed check,6,1
CUST00149,22,64,49.527828922031006,6492.5470519983455,Month-to-month,No,Yes,No,No,Yes,Yes,Yes,No,Mailed check,0,1
CUST00150,59,59,99.34072581478372,7086.951776465619,Two year,DSL,Yes,No,No,No,Yes,Yes,No,Bank transfer,8,0
CUST00151,56,56,38.522844654740965,5630.270754899625,One year,No,Yes,No,No,No,No,Yes,No,Bank transfer,7,0
CUST00152,75,59,111.77524891713773,924.7926250098434,One year,Fiber optic,Yes,Yes,Yes,No,No,No,No,Credit card,7,1
CUST00153,58,70,62.45274251963619,3252.891485782412,Two year,DSL,Yes,No,No,No,Yes,No,No,Bank transfer,6,0
CUST00154,45,33,28.703896258765866,5812.880943070573,Two year,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Bank transfer,4,0
CUST00155,24,53,101.57486435042809,2314.642240253015,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,No,Yes,Bank transfer,2,0
CUST00156,26,22,57.35096830383876,5530.510276676277,Two year,DSL,No,Yes,Yes,Yes,No,Yes,No,Bank transfer,8,0
CUST00157,25,21,72.6499194153781,293.53774131445357,Two year,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,Mailed check,6,0
CUST00158,29,70,31.230434441121915,2518.4849929487864,Two year,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Bank transfer,9,1
CUST00159,51,70,20.25840148449824,4438.129656589664,Month-to-month,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Mailed check,9,0
CUST00160,50,4,83.79852057932976,5093.509653099314,Two year,DSL,No,No,Yes,No,Yes,Yes,Yes,Mailed check,7,0
CUST00161,65,62,71.51751703337317,4658.621249249096,Two year,No,No,Yes,Yes,No,Yes,No,No,Electronic check,5,1
CUST00162,72,62,79.35385691231471,5612.274580980093,Month-to-month,DSL,No,No,Yes,No,Yes,Yes,No,Mailed check,4,0
CUST00163,40,24,99.37438503805163,148.10111109472865,Two year,No,No,No,Yes,No,No,Yes,Yes,Mailed check,7,0
CUST00164,79,55,84.66059134228601,897.4354798224198,Two year,No,No,No,No,Yes,No,No,Yes,Bank transfer,2,1
CUST00165,41,9,37.47734428273772,6964.659593005246,Month-to-month,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Mailed check,6,1
CUST00166,54,3,56.07725191105998,5485.814288312274,One year,No,No,No,No,Yes,No,No,Yes,Credit card,1,0
CUST00167,52,31,110.58911047877604,992.1599772194893,Month-to-month,DSL,No,No,Yes,No,Yes,Yes,Yes,Bank transfer,2,1
CUST00168,61,40,96.9944700251679,6752.388055448776,Two year,DSL,No,No,No,Yes,Yes,No,Yes,Bank transfer,1,1
CUST00169,57,36,75.66370579367172,2013.6266208140787,Two year,No,Yes,No,No,Yes,No,No,No,Bank transfer,4,0
CUST00170,39,24,45.56449978092723,3878.2530851422653,Two year,No,Yes,Yes,Yes,Yes,No,No,No,Electronic check,6,0
CUST00171,44,6,50.206050183479505,1247.0524517888164,Month-to-month,Fiber optic,Yes,No,No,Yes,No,No,Yes,Bank transfer,9,1
CUST00172,52,66,93.19580675856345,5709.869445731482,Two year,No,Yes,Yes,Yes,No,No,No,Yes,Mailed check,9,1
CUST00173,18,4,105.11742608527709,5368.149926012716,Two year,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Credit card,0,1
CUST00174,52,6,87.14246695306144,1767.7885222124758,Month-to-month,No,Yes,Yes,No,Yes,Yes,No,Yes,Bank transfer,9,0
CUST00175,54,51,100.95299757684418,6920.866058170314,One year,DSL,No,No,No,No,Yes,No,Yes,Bank transfer,8,1
CUST00176,64,62,96.6656135200406,3270.3175913357263,One year,No,Yes,Yes,Yes,No,No,Yes,Yes,Credit card,0,1
CUST00177,31,57,34.97039679569578,2410.8692194588602,Two year,DSL,Yes,No,No,No,Yes,No,No,Bank transfer,0,0
CUST00178,20,66,62.3944812913302,1303.4037567698301,Month-to-month,DSL,No,Yes,Yes,Yes,No,No,No,Electronic check,9,0
CUST00179,18,8,35.29838008285627,2202.727298872746,Two year,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Mailed check,7,1
CUST00180,22,26,43.52355848019848,274.0126776681543,Month-to-month,Fiber optic,No,Yes,No,Yes,No,No,No,Credit card,5,0
CUST00181,43,51,106.92596246510526,4707.734190403313,Month-to-month,No,No,No,No,Yes,Yes,Yes,Yes,Credit card,5,1
CUST00182,72,45,67.28919656331821,6753.622896117188,One year,DSL,Yes,Yes,No,No,No,No,Yes,Electronic check,8,0
CUST00183,31,44,73.53581018426608,4436.94555058897,One year,DSL,No,Yes,No,Yes,No,Yes,No,Mailed check,3,0
CUST00184,56,5,37.84459652277721,1832.2642991986181,Month-to-month,Fiber optic,No,Yes,No,Yes,No,Yes,No,Electronic check,7,0
CUST00185,44,70,51.2271786048796,365.98650788959446,Two year,No,No,Yes,Yes,No,No,No,Yes,Mailed check,3,1
CUST00186,26,26,43.024616842787,1795.5617787445424,One year,No,No,No,Yes,No,No,Yes,Yes,Electronic check,1,0
CUST00187,32,68,40.61861645184264,3387.359281761629,Two year,Fiber optic,Yes,Yes,Yes,No,No,Yes,No,Bank transfer,7,0
CUST00188,32,19,83.79607933159701,6100.930286728392,One year,Fiber optic,No,Yes,No,Yes,No,No,No,Electronic check,6,0
CUST00189,43,20,45.68838476457148,1583.9585350484153,One year,No,Yes,Yes,Yes,Yes,No,No,Yes,Credit card,3,0
CUST00190,59,12,83.20154860204184,5786.35248150202,Two year,Fiber optic,No,No,No,Yes,No,Yes,Yes,Credit card,8,1
CUST00191,77,47,25.845461410855393,6948.774399979881,One year,No,No,Yes,Yes,Yes,No,No,Yes,Credit card,8,1
CUST00192,30,1,34.17743935271019,3686.180100056021,One year,No,No,Yes,Yes,Yes,No,Yes,No,Electronic check,7,1
CUST00193,68,14,47.45402540001254,6589.312733976487,Two year,DSL,Yes,Yes,No,No,No,Yes,Yes,Credit card,0,0
CUST00194,49,64,79.70469168956916,4481.793049477255,One year,DSL,Yes,Yes,No,No,Yes,No,No,Credit card,6,1
CUST00195,56,38,87.5841245087376,5133.017612939149,One year,No,Yes,No,Yes,Yes,Yes,No,Yes,Bank transfer,4,1
CUST00196,66,37,64.27169667795272,4257.599836671801,One year,No,No,Yes,Yes,Yes,No,Yes,No,Bank transfer,6,1
CUST00197,69,11,64.5790914577229,3759.0644623355997,Two year,No,No,Yes,Yes,Yes,No,No,No,Mailed check,8,0
CUST00198,78,3,92.45168513986181,1953.76219002921,Month-to-month,No,No,No,Yes,Yes,No,No,No,Mailed check,1,1
CUST00199,49,33,21.582109176558244,2495.233069742264,Two year,No,No,No,No,Yes,Yes,Yes,No,Mailed check,3,0
CUST00200,21,6,54.10900244742206,2390.7639396545114,Month-to-month,No,Yes,No,Yes,No,Yes,Yes,Yes,Electronic check,3,1
CUST00201,47,50,101.87070571192328,4549.982554535136,One year,Fiber optic,No,Yes,No,No,Yes,Yes,No,Mailed check,1,1
CUST00202,54,10,80.32194102133722,1047.6341748887303,Month-to-month,No,Yes,No,No,No,No,Yes,No,Electronic check,2,0
CUST00203,40,5,53.722713275542034,7342.654356548447,Two year,Fiber optic,No,Yes,Yes,Yes,No,Yes,No,Electronic check,7,1
CUST00204,56,23,110.55247923296739,5793.175647736594,Two year,Fiber optic,Yes,No,No,Yes,No,Yes,Yes,Mailed check,8,0
CUST00205,62,10,97.26227274493826,3271.42048421423,One year,No,Yes,Yes,Yes,No,No,No,Yes,Mailed check,5,1
CUST00206,32,44,46.48954472367334,1353.130741758386,Month-to-month,No,No,No,No,No,Yes,Yes,Yes,Electronic check,9,1
CUST00207,60,2,84.52898375257169,7067.738140800923,One year,Fiber optic,No,Yes,No,Yes,No,No,Yes,Bank transfer,1,1
CUST00208,46,13,79.57507281889568,6607.846911799205,One year,Fiber optic,Yes,No,Yes,No,Yes,No,Yes,Credit card,1,0
